índice_color,color,0,1,2
1,Abeto,92,0,33
2,Aguamarina,284,0,17
3,Amarillo,53,0,0
4,Amarillo Limón,45,0,0
5,Amarillo Pastel,26,0,0
6,Amarillo Pálido,6,0,0
7,Amarillo Zinc,39,0,0
8,Arena,94,9,21
9,Avellana,54,0,0
10,Azul,32,0,6
11,Azul Claro,128,0,11
12,Azul Malibú,217,0,3
13,Azul Marino,159,10,71
14,Azul Prusia,499,7,179
15,Azul Royal,71,0,1
16,Beige,542,0,30
17,Berenjena,6,0,0
18,Blanco,1003,0,68
19,Cadmio,6,0,0
20,Café,55,0,55
21,Café Mocca,12,0,12
22,Café Oscuro,29,5,6
23,Canela,20,0,103
24,Carmesí,72,0,11
25,Celeste,12,0,19
26,Cereza,16,0,0
27,Chocolate,30,0,91
28,Coral,7,0,0
29,Dorado,6,0,0
30,Escarlata,79,0,4
31,Esmeralda,71,0,7
32,Fucsia,82,0,2
33,Ganache,37,14,114
34,Granate,53,0,10
35,Gris,65,5,31
36,Gris Carbón,45,0,7
37,Gris Ceniza,30,0,18
38,Gris Claro,22,0,6
39,Gris Grafito,77,0,14
40,Gris Granito,89,8,67
41,Gris Oscuro,100,0,19
42,Gris Perla,10,0,6
43,Gris Plata,50,0,5
44,Habano,159,0,24
45,Hoja Seca,1,0,0
46,Hueso,173,0,51
47,Khaki,174,0,45
48,Lavanda,64,0,6
49,Lila,24,0,0
50,Lima,42,0,1
51,Magenta,5,0,0
52,Malva,11,0,0
53,Mandarina,12,0,0
54,Marfil,0,0,2
55,Marrón,58,0,46
56,Menta,100,0,2
57,Morado,5,0,1
58,Mostaza,41,0,6
59,Multicolor,199,0,10
60,Naranja,24,0,0
61,Naranja Claro,5,0,0
62,Navy,260,0,46
63,Negro,755,11,472
64,Nuez,15,0,0
65,Ocaso,5,0,0
66,Ocre,5,0,0
67,Oro,8,0,0
68,Orquídea,12,0,0
69,Palo de Rosa,28,0,5
70,Pistacho,10,0,0
71,Plateado,11,0,0
72,Rojo,10,0,1
73,Rojo Carmín,1,0,0
74,Rojo Persa,29,0,0
75,Rosa,23,0,0
76,Rosa Amaranto,68,0,0
77,Rosa Claro,54,0,5
78,Rosa Crepé,28,0,0
79,Rosa Francés,33,0,0
80,Rosa Lavanda,71,0,0
81,Rosa Sachet,31,0,0
82,Rosado,27,0,6
83,Royal Purple,4,0,0
84,Salmón,5,0,0
85,Sandía,47,0,5
86,Sangría,5,0,0
87,Tabaco,0,0,6
88,Taupe,11,0,15
89,Turquesa,128,0,8
90,Verde,6,0,0
91,Verde Enebro,46,0,0
92,Verde Malaquita,69,0,0
93,Verde Manzana,72,0,0
94,Verde Oscuro,56,0,5
95,Verde Pino,45,0,6
96,Vinotinto,37,0,15
97,Violeta,21,0,0
98,Ámbar,18,0,0
99,Índigo,68,0,0
