índice_talla,talla,0,1,2
1,02,7,0,0
2,04,56,8,0
3,06,56,8,0
4,08,56,9,0
5,10,57,8,0
6,10-11,357,4,0
7,10-12,17,0,0
8,11-13,4,0,0
9,12,403,11,0
10,14,42,9,0
11,2-3,329,4,0
12,2-4,9,0,0
13,20,0,4,0
14,22-23,1,0,0
15,24,0,4,0
16,24-25,1,0,0
17,24.5,0,7,0
18,25-26,1,0,0
19,26,6,0,0
20,26-27,8,0,0
21,27,4,0,0
22,27-28,2,0,0
23,28,87,19,0
24,28-29,16,0,0
25,29,8,0,0
26,29-30,3,0,0
27,30,141,28,0
28,31,26,0,0
29,31-32,3,0,0
30,32,155,29,0
31,33,27,0,0
32,33-34,4,0,0
33,34,156,32,0
34,35,49,36,0
35,35-36,4,0,0
36,36,182,73,2
37,37,54,42,2
38,37-38,4,0,0
39,38,176,214,3
40,39,66,179,4
41,39-40,4,0,0
42,4,2,0,0
43,4-5,352,4,0
44,4-6,9,0,0
45,40,135,193,5
46,41,50,135,4
47,42,102,155,5
48,43,46,130,4
49,44,69,37,4
50,45,0,1,3
51,46,9,3,2
52,48,8,3,1
53,50,9,1,1
54,6,2,0,0
55,6-7,351,4,0
56,6-8,9,0,0
57,8,2,0,0
58,8-10,13,0,0
59,8-9,376,7,0
60,9-11,13,0,0
61,L,656,95,6
62,M,662,98,6
63,M/L,1,0,0
64,S,660,93,5
65,UNICA,37,0,0
66,XL,628,91,6
67,XS,279,35,0
68,XS/S,1,0,0
69,XXL,402,57,6
70,XXS,76,1,0
71,XXXL,67,2,0
