índice_producto,precio,talla,color,color_agrupado,precio_normalizado,precio_formateado,cluster
1,37450.0,42,Abeto,Otro,-0.6977494384002798,COP 37.450,0
2,37450.0,42,Negro,Otro,-0.6977494384002798,COP 37.450,0
3,37450.0,42,Blanco,Otro,-0.6977494384002798,COP 37.450,0
4,59925.0,42,Azul Prusia,Otro,-0.4912393696650658,COP 59.925,0
5,59925.0,42,Negro,Otro,-0.4912393696650658,COP 59.925,0
6,118140.0,42,Negro,Otro,0.04366535342372092,COP 118.140,0
7,283985.0,42,Gris Granito,Otro,1.5675212977792963,COP 283.985,1
8,83265.0,42,Habano,Otro,-0.27678130495850767,COP 83.265,0
9,448435.0,42,Gris Granito,Otro,3.078559375799583,COP 448.435,1
10,117585.0,42,Negro,Otro,0.038565772193552124,COP 117.585,0
11,117585.0,42,Blanco,Otro,0.038565772193552124,COP 117.585,0
12,127985.0,42,Ganache,Otro,0.13412549254266115,COP 127.985,0
13,48685.0,42,Azul Claro,Otro,-0.5945173751192951,COP 48.685,0
14,149925.0,42,Blanco,Otro,0.3357197487406854,COP 149.925,1
15,95175.0,42,Azul Prusia,Otro,-0.1673470482894799,COP 95.175,0
16,95175.0,42,Gris Granito,Otro,-0.1673470482894799,COP 95.175,0
17,104925.0,42,Rosa Claro,Otro,-0.0777598104621902,COP 104.925,0
18,90285.0,42,Blanco,Otro,-0.21227849372285906,COP 90.285,0
19,102675.0,42,Blanco,Otro,-0.09843378842233398,COP 102.675,0
20,52425.0,42,Amarillo Pastel,Otro,-0.5601526295322117,COP 52.425,0
21,164385.0,42,Canela,Otro,0.46858451376454274,COP 164.385,1
22,164385.0,42,Negro,Otro,0.46858451376454274,COP 164.385,1
23,110435.0,42,Nuez,Otro,-0.02713153554646033,COP 110.435,0
24,110435.0,42,Gris,Otro,-0.02713153554646033,COP 110.435,0
25,110435.0,42,Azul Prusia,Otro,-0.02713153554646033,COP 110.435,0
26,168935.0,42,Chocolate,Otro,0.5103918914172779,COP 168.935,1
27,168935.0,42,Negro,Otro,0.5103918914172779,COP 168.935,1
28,79950.0,42,Blanco,Otro,-0.30724096581978616,COP 79.950,0
29,58950.0,42,Blanco,Otro,-0.5001980934477948,COP 58.950,0
30,77935.0,42,Blanco,Otro,-0.32575566163742603,COP 77.935,0
31,157235.0,42,Café,Otro,0.40288720602453026,COP 157.235,1
32,157235.0,42,Negro,Otro,0.40288720602453026,COP 157.235,1
33,67450.0,42,Blanco,Otro,-0.42209639893169604,COP 67.450,0
34,172185.0,42,Canela,Otro,0.5402543040263745,COP 172.185,1
35,172185.0,42,Negro,Otro,0.5402543040263745,COP 172.185,1
36,122950.0,42,Canela,Otro,0.08786172408518385,COP 122.950,0
37,66950.0,42,Blanco,Otro,-0.42669061625617244,COP 66.950,0
38,39515.0,42,Ganache,Otro,-0.6787753208501922,COP 39.515,0
39,77935.0,42,Palo de Rosa,Otro,-0.32575566163742603,COP 77.935,0
40,100035.0,42,Azul Prusia,Otro,-0.12269125589556935,COP 100.035,0
41,175435.0,42,Canela,Otro,0.570116716635471,COP 175.435,1
42,175435.0,42,Negro,Otro,0.570116716635471,COP 175.435,1
43,84435.0,42,Negro,Otro,-0.26603083641923286,COP 84.435,0
44,194935.0,42,Canela,Otro,0.7492911922900505,COP 194.935,1
45,194935.0,42,Negro,Otro,0.7492911922900505,COP 194.935,1
46,220935.0,42,Marrón,Otro,0.988190493162823,COP 220.935,1
47,220935.0,42,Negro,Otro,0.988190493162823,COP 220.935,1
48,81950.0,42,Blanco,Otro,-0.28886409652188055,COP 81.950,0
49,116950.0,42,Chocolate,Otro,0.032731116191467104,COP 116.950,0
50,116950.0,42,Negro,Otro,0.032731116191467104,COP 116.950,0
51,74950.0,42,Gris Granito,Otro,-0.3531831390645501,COP 74.950,0
52,77450.0,42,Negro,Otro,-0.3302120524421681,COP 77.450,0
53,104950.0,42,Café Mocca,Otro,-0.07753009959596639,COP 104.950,0
54,104950.0,42,Negro,Otro,-0.07753009959596639,COP 104.950,0
55,84950.0,42,Granate,Otro,-0.2612987925750222,COP 84.950,0
56,110435.0,42,Granate,Otro,-0.02713153554646033,COP 110.435,0
57,167635.0,42,Canela,Otro,0.4984469263736393,COP 167.635,1
58,167635.0,42,Negro,Otro,0.4984469263736393,COP 167.635,1
59,115000.0,42,Blanco,Otro,0.014813668626009161,COP 115.000,0
60,132450.0,42,Beige,Otro,0.17515185325023536,COP 132.450,0
61,132450.0,42,Negro,Otro,0.17515185325023536,COP 132.450,0
62,374985.0,42,Gris Oscuro,Otro,2.4036688508340003,COP 374.985,1
63,77450.0,42,Gris Carbón,Otro,-0.3302120524421681,COP 77.450,0
64,59925.0,42,Blanco,Otro,-0.4912393696650658,COP 59.925,0
65,166335.0,42,Café Mocca,Otro,0.4865019613300007,COP 166.335,1
66,166335.0,42,Negro,Otro,0.4865019613300007,COP 166.335,1
67,180635.0,42,Chocolate,Otro,0.6178965768100256,COP 180.635,1
68,180635.0,42,Azul Prusia,Otro,0.6178965768100256,COP 180.635,1
69,180635.0,42,Chocolate,Otro,0.6178965768100256,COP 180.635,1
70,180635.0,42,Azul Prusia,Otro,0.6178965768100256,COP 180.635,1
71,67425.0,42,Arena,Otro,-0.42232610979791985,COP 67.425,0
72,67425.0,42,Abeto,Otro,-0.42232610979791985,COP 67.425,0
73,67425.0,42,Gris Oscuro,Otro,-0.42232610979791985,COP 67.425,0
74,67425.0,42,Navy,Otro,-0.42232610979791985,COP 67.425,0
