producto_id,nombre,precio,descuento,categoria,subcategoria,color,talla
15,Zapato Casual con Suela Corrida Y Detalles de Color 35435,240900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Café, Gris Granito",42
16,Zapato Business con Suela Corrida 35434,249900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Azul Marino, Canela",42
19,Blazer Business para Hombre 36889,509900.0,0.0,HOMBRE,"Ropa, Blazers",Gris Grafito,L
23,Traje Colección Especial Diseño Cuadros Semi Slim Fit 05083,465985.0,-35.0,HOMBRE,"Ropa, Trajes",Taupe,38
24,Camiseta Básica Regular Fit para Hombre 25997,50915.0,-15.0,HOMBRE,"Ropa, Camisetas","Azul Marino, Negro, Blanco",L
25,Camiseta Básica Regular Fit para Hombre 25997,50915.0,-15.0,HOMBRE,"Ropa, Camisetas","Azul Marino, Negro, Blanco",L
26,Blazer Business con Forro y Silueta Justa 21887,340425.0,-25.0,HOMBRE,"Ropa, Blazers",Ganache,L
27,Chaleco Acolchado Unicolor para Hombre 11924,119900.0,0.0,HOMBRE,"Ropa, Chalecos, Chalecos Casuales","Negro, Navy",L
28,Traje Colección Especial Regular Fit para Hombre 37172,1849900.0,0.0,HOMBRE,"Ropa, Trajes",Azul Marino,42
29,Camiseta Básica Regular Fit para Hombre 25996,50915.0,-15.0,HOMBRE,"Ropa, Camisetas","Azul Marino, Negro, Blanco",L
30,Chaqueta Deportiva con Capota para Hombre 23607,234900.0,0.0,HOMBRE,"Ropa, Chaquetas","Azul Marino, Granate, Negro, Gris Granito",L
32,Zapato Casual Talonera en Contraste 31601,254900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Café, Azul Prusia",42
33,Polo Premium Regular Fit para Hombre 36133,76415.0,-15.0,HOMBRE,"Polos, Ropa","Gris Oscuro, Rojo Persa",L
34,Pantalón Unicolor Regular Fit para Hombre 12338,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales","Navy, Abeto",42
35,Zapatos Casuales con Placa de Puntos 31617,254900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Azul Prusia, Ganache",42
36,Zapato Casual con Suela Corrida Y Detalles de Color 35435,240900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Café, Gris Granito",42
37,Zapato Casual Moderno con Suela Liviana en Eva 37879,239900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos","Canela, Negro",42
39,Camiseta Oversize Unicolor 04731,46665.0,-15.0,HOMBRE,"Ropa, Camisetas","Café, Negro, Turquesa, Sandía, Blanco",L
40,Boina Unicolor para Hombre 35713,54900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Abeto,UNICA
41,Zapato Formal en Cuero para Hombre 39238,229900.0,0.0,HOMBRE,"Zapatos Formales, Zapatos",Negro,42
42,Chaqueta Unicolor Cuello Alto para Hombre 23585,257175.0,-25.0,HOMBRE,"Ropa, Chaquetas","Gris Granito, Azul Prusia",L
43,Zapato Formal Tipo Oxford con Costura en Puntera 23965,269900.0,0.0,HOMBRE,"Zapatos Formales, Zapatos","Negro, Navy",38
46,Camisa Formal Unicolor para Hombre 33376,148900.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Formales",Blanco,42
48,Suéter Cuello Redondo para Hombre 36379,129900.0,0.0,HOMBRE,"Ropa, Suéteres y Cardigans",Verde Oscuro,L
49,Jean Silueta Slim con Lavado Azul Medio 38368,149900.0,0.0,HOMBRE,"Ropa, Jeans",Azul Claro,38
50,Gorra Beisbolera para Hombre 12423,35900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Negro,UNICA
51,Zapato Casual con Suela Rustica y Capellada con Placa 35119,240900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos",Azul Prusia,42
53,Camisa en Denim Liviano para Hombre 05231,149900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Negro,L
54,Gorra Beisbolera para Hombre 37941,49900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Lima,UNICA
55,Blazer Business Desestructurado Slim Fit para Hombre 21070,277425.0,-25.0,HOMBRE,"Ropa, Blazers",Azul Prusia,L
56,Zapato Casual Gamuzado con Suela en Contraste 36497,264900.0,0.0,HOMBRE,"Zapatos Casual, Zapatos",Marrón,42
61,Blazer Business Slim Fit para Hombre 12200,219900.0,0.0,HOMBRE,"Ropa, Blazers",Gris Granito,L
63,Camisa Guayabera en Lino para Hombre 02977,350000.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Lino",Turquesa,M
64,Bota Casual Deportiva con Suela en Contraste y Vintage 36498,279900.0,0.0,HOMBRE,"Zapatos, Botas",Gris Granito,42
66,Traje Unicolor Regular para Hombre 21349,457535.0,-35.0,HOMBRE,"Ropa, Trajes",Negro,42
67,Pantalón Unicolor Slim Fit para Hombre 12354,99900.0,0.0,HOMBRE,"Pantalones, Ropa, Pantalones Casuales","Azul Marino, Negro, Gris",38
68,Jean en Silueta Skinny para Hombre 37047,149900.0,0.0,HOMBRE,"Ropa, Jeans",Aguamarina,36
69,Gorra Trucker con Malla para Hombre 36194,49900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Blanco,UNICA
70,Pantalón Formal Slim Fit para Hombre 37282,109900.0,0.0,HOMBRE,"Pantalones, Pantalones Formales, Ropa",Azul Prusia,38
71,Camisa para Hombre Composición en Algodón 02831,220000.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Lino",Carmesí,L
